athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5149077,8.15,1.16,9.31,1688.99,Kingston Flemings,Houston Cougars,G
4870569,2.57,6.73,9.31,1534.95,Duke Brennan,Villanova Wildcats,F
5174983,3.06,6.23,9.29,1343.46,Aday Mara,Michigan Wolverines,C
5107298,7.02,2.27,9.29,1699.93,Donovan Oday,Northern Kentucky Norse,G
5105449,3.75,5.53,9.27,1338.56,RJ Godfrey,Clemson Tigers,F
5060700,4.19,5.08,9.27,1239.77,Joseph Tugler,Houston Cougars,F
5175171,3.36,5.9,9.26,1504.59,Quentin Jones,Saint Louis Billikens,G
5107251,3.17,6.02,9.19,1590.13,Izaiyah Nelson,South Florida Bulls,F
5093250,3.96,5.15,9.11,882.52,Jordan Clayton,Northwestern Wildcats,G
5241282,4.15,4.91,9.07,765.28,Cheikh Sow,Idaho State Bengals,G
4873209,2.11,6.89,9.0,1071.36,Patrick Ngongba II,Duke Blue Devils,C
5311896,5.26,3.71,8.97,1553.03,Ivan Kharchenkov,Arizona Wildcats,F
4837356,5.88,3.0,8.88,1848.13,Tre Donaldson,Miami Hurricanes,G
5241610,2.76,6.04,8.79,1173.71,Reece Robinson,North Texas Mean Green,F
5037875,5.09,3.68,8.77,1544.62,Tyrone Riley IV,San Francisco Dons,G
5241415,4.09,4.68,8.77,1708.47,Nolan Minessale,St. Thomas-Minnesota Tommies,G
4896862,3.36,5.39,8.76,793.45,Ali Dibba,Texas A&M Aggies,G
4897768,4.26,4.49,8.75,1727.06,Bryce Harris,Howard Bison,G
5142718,5.83,2.91,8.74,1922.08,AJ Dybantsa,BYU Cougars,F
5176787,2.75,5.94,8.68,1279.59,Emmanuel Innocenti,Gonzaga Bulldogs,F
5241590,7.4,1.27,8.68,1565.26,Terry Anderson,High Point Panthers,F
5315806,3.51,5.16,8.66,867.4,Tristan Smith,Northern Iowa Panthers,F
5115458,4.2,4.38,8.58,1733.67,Sean Craig,Toledo Rockets,F
5144124,2.8,5.72,8.52,1090.41,Nikolas Khamenia,Duke Blue Devils,G
5242999,4.85,3.64,8.49,1465.07,Andrija Bukumirovic,UT Martin Skyhawks,F
5105815,3.93,4.54,8.47,1433.83,Jaxon Kohler,Michigan State Spartans,F
