athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
5113390,0.41,1.0,1.4,Marcell McCreary,250,UT Arlington Mavericks,1558.107604997678
5311901,0.78,0.62,1.4,Noah Meeusen,9,Arizona State Sun Devils,1426.6389295386991
5107375,1.04,0.36,1.4,Sam Alexis,84,Indiana Hoosiers,1090.29447449821
5242439,-0.41,1.81,1.4,Clayton Jackson,2815,Lindenwood Lions,1505.8038047815826
5101850,-0.34,1.73,1.4,Christian Gurdak,259,Virginia Tech Hokies,853.8996827528263
4873100,0.76,0.64,1.4,Travis Perry,145,Ole Miss Rebels,1008.7741669184492
5105781,-0.01,1.41,1.4,Garfield Turner,2182,Drexel Dragons,951.6776430154476
5313888,0.76,0.64,1.4,Carter Hopoi,2674,Valparaiso Beacons,810.479170813627
5105832,1.72,-0.32,1.39,Nick Martinelli,77,Northwestern Wildcats,1897.316080750545
5105982,-0.07,1.46,1.39,Daniel Rivera,5,UAB Blazers,1566.4432267729446
5314736,0.98,0.41,1.39,Filip Brankovic,292,UT Rio Grande Valley Vaqueros,1256.8036076194803
5082704,1.05,0.34,1.39,Drew Fielder,68,Boise State Broncos,1256.779097126344
5236223,1.33,0.06,1.39,Tyrin Jones,2439,UNLV Rebels,1386.2269250425531
5107070,1.44,-0.05,1.39,Colin Porter,2335,Liberty Flames,1633.739517133375
4873146,0.25,1.14,1.39,Jadis Jones,2815,Lindenwood Lions,1674.0928690787964
5240521,0.15,1.23,1.39,Jayden Fort,46,Georgetown Hoyas,753.377806358381
5175655,0.52,0.87,1.39,Lase Olalere,2127,Charleston Southern Buccaneers,906.5866113155679
5314705,0.3,1.09,1.39,Daniel Michelini-Jackson,357,Texas A&M-Corpus Christi Islanders,838.7226568374352
5105820,2.12,-0.74,1.38,Braeden Carrington,275,Wisconsin Badgers,1021.6667775054203
5107312,1.94,-0.55,1.38,LeJuan Watts,2641,Texas Tech Red Raiders,1427.9793761664896
4897936,0.1,1.28,1.38,Jayden Jackson,2856,California Baptist Lancers,1309.5825010895858
5241273,0.96,0.42,1.38,Obi Agbim,239,Baylor Bears,1766.960809574912
5314192,0.77,0.61,1.38,Antonio Chandler,2561,Siena Saints,1006.9294876361419
5177218,0.08,1.3,1.38,Dayjaun Anderson,5,UAB Blazers,830.1242847198815
4869778,0.99,0.38,1.38,Ahmad Nowell,2670,VCU Rams,509.2219339385607
5313263,0.79,0.59,1.37,Nathan Claerbaut,2117,Central Michigan Chippewas,1489.0752976066142
5174807,0.23,1.14,1.37,Jack Janicki,275,Wisconsin Badgers,723.8240414213547
5176765,0.31,1.06,1.37,Chris Loofe,2393,Middle Tennessee Blue Raiders,1305.6155626284278
5142625,0.54,0.83,1.37,Joson Sanon,2599,St. John's Red Storm,1276.3158482325532
5108879,0.86,0.51,1.37,Braden Sparks,2217,Fairfield Stags,1866.922718664963
4683134,0.74,0.63,1.37,Quincy Ballard,344,Mississippi State Bulldogs,1099.1478634050166
5243000,1.1,0.26,1.37,Tarence Guinyard,2184,Duquesne Dukes,1854.153618183751
4897583,0.69,0.68,1.37,Grant Asman,288,Lipscomb Bisons,1571.229327821931
4897466,1.02,0.34,1.36,Cam Crawford,2184,Duquesne Dukes,1030.4153442702975
5175404,0.95,0.41,1.36,Bailey Nunn,2239,Cal State Fullerton Titans,784.5799886981597
5176136,0.89,0.48,1.36,Cooper Bowser,231,Furman Paladins,1141.0646905940966
5106863,1.68,-0.32,1.36,Nik Graves,156,Creighton Bluejays,1440.08277107973
5243006,-0.33,1.69,1.36,AJ Hopkins,2630,UT Martin Skyhawks,535.4956407821494
5313294,0.33,1.03,1.36,Duce Paschal,2692,Weber State Wildcats,694.7176247136161
5176240,-0.36,1.72,1.36,Magoon Gwath,21,San Diego State Aztecs,818.8693486489199
5313138,0.33,1.02,1.36,Miles Amos,2547,Seattle U Redhawks,554.3691708130337
