athlete_id,3PA,3P%,streak_score,p_value,runs_z_score,runs_p_value
5242989,26,0.2692307692307692,-0.19047619047619047,0.85,0.6530365739507197,0.5137327001777334
5108082,64,0.328125,-0.19047619047619047,0.794,1.3693319859856594,0.17089552392522345
5312174,73,0.2876712328767123,-0.19047619047619047,0.978,1.4661206953157875,0.14261540860400124
5105790,25,0.16,-0.19047619047619047,1.0,0.6163360527099888,0.5376727488320636
5176206,26,0.2692307692307692,-0.19047619047619047,0.864,0.6530365739507197,0.5137327001777334
5176710,51,0.27450980392156865,-0.19047619047619047,0.938,1.3159665748734923,0.18818526168916205
5175009,23,0.30434782608695654,-0.19047619047619047,0.648,0.3868364162476474,0.6988773157338382
5176665,21,0.2857142857142857,-0.1904761904761905,1.0,0.5154835307167939,0.6062151752629503
5312052,21,0.2857142857142857,-0.1904761904761905,0.526,0.5154835307167939,0.6062151752629503
5106843,109,0.3761467889908257,-0.19117647058823528,0.853,1.814483369882481,0.06960334075953581
5312014,103,0.3300970873786408,-0.19117647058823528,0.92,1.893569753747986,0.058282141380171064
4701217,81,0.345679012345679,-0.19287211740041932,0.992,1.5736091865979667,0.11557782812059278
5107969,83,0.37349397590361444,-0.1929158760278305,0.985,1.6902925854108413,0.0909719929147074
5314753,42,0.3333333333333333,-0.1931216931216931,0.945,0.9990308646201133,0.3177797399074981
5255260,33,0.2727272727272727,-0.19323671497584544,0.561,0.6335773174677976,0.5263567076320839
5174853,68,0.38235294117647056,-0.19418386491557227,0.765,1.5230467841852608,0.1277470011562962
5189571,14,0.35714285714285715,-0.19444444444444442,0.502,0.04359569698171625,0.9652266817495803
5105625,14,0.35714285714285715,-0.19444444444444442,1.0,0.04359569698171625,0.9652266817495803
5254274,14,0.35714285714285715,-0.19444444444444442,0.598,0.04359569698171625,0.9652266817495803
5318062,14,0.35714285714285715,-0.19444444444444442,1.0,0.04359569698171625,0.9652266817495803
5175029,103,0.30097087378640774,-0.19444444444444445,0.974,1.8060174939782423,0.07091560702718328
4904928,57,0.3333333333333333,-0.19487908961593176,0.983,1.406545621014204,0.15956216764129938
5242594,68,0.3235294117647059,-0.19595959595959594,0.694,1.464528137358493,0.14304970086796107
5176781,57,0.43859649122807015,-0.1961290322580645,0.743,1.3383120214483168,0.18079474466853107
5311934,43,0.46511627906976744,-0.19679633867276886,0.81,0.9631905223531326,0.33545192048511396
5196962,18,0.3333333333333333,-0.196969696969697,0.683,0.2754865825096699,0.782942432777071
5313265,18,0.3333333333333333,-0.196969696969697,0.777,0.2754865825096699,0.782942432777071
5105636,113,0.3274336283185841,-0.19747747747747746,0.982,1.9826929312887207,0.047401739651944066
